Source,Target,total_flight,total_seat,total_pax,total_freight,total_mail
CGK,SUB,16649,2973702,2450106,19326485,670277
CGK,UPG,12110,2120267,1714634,26682330,658297
CGK,DPS,15591,3023705,2347169,21506610,589858
SUB,CGK,17380,3101222,2447388,12143214,579708
CGK,KNO,12498,2237959,1803436,18356695,551477
PNK,CGK,7356,1277519,1010046,5429650,473943
DPS,CGK,16485,3275408,2423629,20064477,436335
KNO,CGK,12505,2237604,1848709,10326302,420939
BTH,CGK,4934,869266,713265,14199760,391107
CGK,PLM,7968,1397110,1172468,10328876,315732
JOG,CGK,9303,1622916,1322021,4193664,277581
CGK,PDG,7153,1368901,1159433,6318811,242052
CGK,BPN,6340,1122908,910650,13299860,232104
CGK,PKU,6056,1047642,861754,8829841,228864
CGK,PNK,7361,1278432,1008619,10075946,227470
CGK,JOG,9662,1694751,1377582,5096055,218991
PDG,CGK,7166,1369413,1165710,3593592,216380
PLM,CGK,7606,1340568,1124815,3228005,199820
CGK,BTH,4897,867690,714929,10242387,198431
UPG,CGK,13415,2354108,1892864,17337258,182520
CGK,SRG,9186,1518009,1207206,9448441,178050
CGK,BDJ,5147,923147,738831,9688750,177671
CGK,MDC,3920,661032,484953,6550747,159733
CGK,LOP,3956,687000,475634,4263045,153912
SRG,CGK,9131,1517465,1199628,5655459,149263
JOG,UPG,1641,279066,224707,1591728,149120
CGK,BTJ,1628,259205,183305,3300647,140236
CGK,PGK,4740,858854,688392,5575442,137460
PKU,CGK,6410,1111974,917787,2512794,136306
CGK,DJB,4702,823949,674376,4922872,127383
CGK,SOC,4910,916601,743642,2761394,126420
DJB,CGK,4698,823373,679956,2452107,115145
CGK,PKY,1837,323574,243928,3061844,111648
BPN,CGK,6362,1117361,908494,7133017,111061
BPN,BEJ,3034,275192,238292,1599061,97720
BDJ,CGK,5113,917017,730270,3844166,89544
SOC,CGK,5272,994179,781688,3583701,84411
SUB,KOE,2255,440662,348981,2292988,83180
MDC,CGK,3918,659400,480132,2504777,82844
TJQ,CGK,3302,521468,409799,979362,82046
UPG,BIK,731,136698,113976,1561242,81649
LOP,CGK,3241,569693,430316,2866775,80845
CGK,BKS,2826,514869,418815,2662187,71821
BTJ,CGK,1623,258358,188421,659828,71640
UPG,AMQ,2065,374000,252824,1220287,66595
CGK,TTE,1060,178225,128006,1507131,66397
TNJ,CGK,1087,194522,149589,723683,61654
PGK,CGK,4740,858807,696167,2342370,60013
BIK,DJJ,736,137868,105261,1066321,57949
JOG,DPS,2711,472749,365914,685005,53782
CGK,AMQ,1072,182759,129181,1342352,53464
DPS,KOE,728,136494,108274,961144,50428
UPG,PLW,1936,340283,280032,1815419,50228
CGK,TNJ,1083,193766,151483,1922329,49216
PKY,CGK,1835,323426,241504,514923,49115
KDI,UPG,3842,691833,583064,1248059,48065
HLP,KNO,2479,413886,344629,2936097,47860
DPS,TIM,363,58080,45751,799050,42062
TKG,CGK,6329,1092265,983216,1184192,42008
UPG,KDI,3506,626446,514216,2658746,41220
BEJ,BPN,3031,274976,244240,1042204,40883
KNO,PLM,921,148040,113452,189492,39384
UPG,SOQ,1816,258350,197156,1518424,36403
PLW,UPG,1923,338005,278480,625072,35739
UPG,DJJ,1577,271604,214495,1363324,33829
AMQ,UPG,2066,374103,262005,1557134,33379
UPG,GTO,1870,326897,230313,1678410,32636
KOE,ENE,1428,100950,71441,461060,32536
AMQ,LUV,1111,79164,54044,137118,32427
CGK,DJJ,1084,184866,144344,1274926,32285
DJJ,MKQ,885,154980,115866,1045238,31829
CGK,TKG,6349,1096626,951610,3995838,27457
GTO,UPG,1867,326454,232795,664858,26890
TIM,DJJ,1094,190859,151199,654134,26401
CGK,TJQ,3302,521456,407797,2211835,25549
BDJ,BPN,2096,228923,191843,424393,23692
KOE,SUB,2256,440744,363940,871733,22876
HLP,UPG,718,112014,79652,1474490,22534
CGK,SOQ,846,128636,91145,1016616,22149
SUB,UPG,6275,1092265,822739,6296145,21670
MDC,UPG,1728,317025,255385,373639,19410
LUV,AMQ,1484,106018,77426,223325,19285
PGK,TJQ,1439,132612,112698,192062,19236
UPG,TIM,736,133832,105747,1922766,19112
MDC,TTE,1706,149136,107341,253913,17954
PLW,CGK,1019,174447,135496,752547,17938
LOP,DPS,2883,340063,278711,55979,17910
LOP,SUB,3420,643098,502701,1949066,17871
BDO,TKG,1043,74132,47871,170075,17869
BTH,TKG,481,88563,51774,142029,17315
UPG,BUW,1743,124170,92462,181384,17232
UPG,DPS,2275,435189,319014,2147813,17206
SOQ,MKW,1585,178390,150328,335079,17098
WMX,DJJ,8970,203230,153065,3450258,16770
CGK,PLW,1367,240424,178483,1931321,16660
TTE,MDC,1702,148470,111545,221774,16505
BPN,BDJ,2097,229510,190910,588868,15876
BPN,PKY,716,50828,34409,145436,15851
BUW,UPG,1743,124178,92656,77545,15488
UPG,MKW,811,119168,92630,661401,15459
LUW,UPG,1265,131924,108466,435662,15415
UPG,SUB,5927,1039380,815759,1693119,14939
DPS,LBJ,2603,212668,163845,504199,14783
TTE,CGK,782,125793,89220,271490,14369
KOE,CGK,689,87114,64465,57968,13708
DJJ,NBX,1242,88732,66880,349609,13008
PLM,DPS,361,34656,25874,100017,12663
WNI,KDI,558,39764,29576,20021,11557
DJJ,DEX,693,48360,38296,164273,11397
ENE,LBJ,759,53862,39313,76988,11277
BIK,UPG,729,136560,111311,1041484,10795
AMQ,SXK,896,63816,43533,84074,10479
JOG,SUB,2600,229142,168850,239311,10446
TJQ,PGK,1430,131918,110762,131034,10346
DPS,WGP,520,44928,36653,233636,9841
KOE,DPS,730,136950,103649,715121,9807
UPG,TTE,868,148434,117293,1288702,9592
