ID,Nama,Kota,Latitude,Longitude
OKL,Oksibil,Kab. Pegunungan Bintang,-4.9072222,140.6191667
DJJ,Sentani,Jayapura,-2.57556,140.51457
MKQ,Mopah,Merauke,-8.5211111,140.4169444
TMH,Tanah Merah,Kab. Boven Digoel,-6.0961111,140.3
DEX,Nop Goliat Dekai,Kab. Yahukimo,-4.8536111,139.4866667
KEI,Kepi,Kab. Mappi,-6.5388889,139.3302778
WMX,Wamena,Kab. Jayawijaya,-4.0975,138.9513889
LII,Mulia,Kab. Puncak Jaya,-3.7011111,137.9602778
TIM,Mozes Kilangin,Kab. Mimika,-4.5316667,136.8883333
BIK,Frans Kaisepo,Biak,-1.1919444,136.11
ZRI,Stevanus Rumbewas,"Kab. Kep. Japen, Serui",-1.828184,136.063007
NBX,Nabire,Kab. Nabire,-3.3680556,135.4972222
DOB,Dobo,Pulau Aru - Kep. Aru,-5.7741667,134.21
MKW,Rendani,Manokwari,-0.8938889,134.0502778
KNG,Utarom,Kab. Kaimana,-3.6447222,133.6955556
NTI,Bintuni,Kab. Teluk Bintuni,-2.1030556,133.5163889
BXB,Babo,Kab. Teluk Bintuni,-2.5352778,133.4388889
LUV,"Karel Sadsuitubun, Langgur",Tual - Kab. MTB,-5.7572222,132.7611111
FKQ,Torea,Fak-fak,-2.9194444,132.2641667
SXK,Mathilda Batlayeri,Saumlaki-Kab. Kep Tanimbar,-7.9886111,131.3061111
SOQ,Domine Eduard Osok,Sorong,-0.8916667,131.2869444
RJM,Marinda,Kab. Raja Ampat,-0.424696,130.773467
WUB,Buli,Kab. Halmahera Timur,0.9194444,128.3825
OTI,Pitu,Morotai,2.0461111,128.3247222
AMQ,Pattimura,Ambon,-3.7075,128.0894444
JIO,Jos Orno-Imsula,Maluku Barat Daya,-8.140449,127.909107
KAZ,Kuabang Kao,Halmahera Utara,1.187318,127.896018
GLX,Gamar Malamo,Galela,1.8366667,127.7869444
LAH,Oesman Sadik,Labuha,-0.6341667,127.5047222
TTE,Sultan Babullah,Ternate,0.8311111,127.3802778
NAM,Namniwel,Pulau Buru,-3.1436,126.978111
NRE,Namrole,P. Buru - Buru Selatan,-3.8527778,126.7025
MNA,Melonguane,Sangihe Talaud,4.0061111,126.6747222
IAX,Miangas,Kep. Talaud,5.5561111,126.5766667
NAH,Naha,Tahuna,3.6855556,125.5291667
MDC,Sam Ratulangi,Manado,1.5455556,124.925
ABU,A.A. Bere Tallo,Atambua,-9.0755556,124.9030556
ARD,Mali,Alor,-8.1352778,124.5944444
KOE,El Tari,Kupang,-10.1777778,123.6638889
WNI,Matahora,Wakatobi,-5.2905556,123.6361111
LWE,Wunopito,Lewoleba,-8.3622222,123.4383333
RTI,David Constantijn Saudale,Rote Ndao,-10.7669444,123.0741667
LKA,Gewayantana,Larantuka,-8.274544,123.002328
GTO,Djalaluddin,Gorontalo,0.6383333,122.8522222
LUW,Syukuran Aminuddin Amir,Luwuk,-1.0388889,122.7719444
RAQ,Sugimanuru,Muna,-4.7619444,122.57
BUW,Beto Ambari,Bau-bau,-5.4869444,122.5694444
KDI,Haluoleo,Konawe Selatan,-4.0841667,122.4130556
MOF,Frans Seda,Maumere,-8.6375,122.2369444
SAU,Tardamu,Sabu,-10.4938889,121.8461111
ENE,H. Hasan Aroeboesman,Ende,-8.8480556,121.6633333
MOH,Morowali,Morowali,-2.201879,121.661912
OJU,Tanjung Api,Ampana,-0.864417,121.623083
PUM,Sangia Nibandera,Kolaka,-4.345,121.5222222
UOL,Pogogul,Buol,1.1052778,121.4155556
BJW,Soa,Bajawa,-8.7086111,121.0572222
TLI,Sultan Bantilan,Toli-toli,1.1230556,120.7930556
PSJ,Kasiguncu,Poso,-1.4186111,120.6575
RTG,Frans Sales Leda,Ruteng,-8.5986111,120.4963889
KSR,H. Aroepala,P. Selayar,-6.1766667,120.4372222
WGP,Umbu Mehang Kunda,Waingapu,-9.6680556,120.2988889
LLO,Lagaligo,Luwu,-3.0844444,120.245
PLW,Mutiara Sis Al Jufri,Palu,-0.9305556,119.9102778
LBJ,Komodo,Labuhan Bajo,-8.4863889,119.8875
UPG,Sultan Hasanuddin,Maros,-5.0608333,119.5544444
TMC,Tambolaka,Waikabubak,-9.4122222,119.2469444
MJU,Tampa Padang,Mamuju,-2.5833333,119.0333333
BMU,Sultan M. Salahuddin,Bima,-8.5405556,118.6902778
RTU,Maratua,Kab. Berau,2.24585,118.567451
NNX,Nunukan,Nunukan,4.1358333,117.6675
TRK,Juwata,Tarakan,3.3266667,117.5694444
BEJ,Kalimarau,"Tanjung Redeb, Berau",2.155278,117.432222
SWQ,Sultan M. Kaharuddin,Sumbawa,-8.4886111,117.4141667
TJS,Tanjung Harapan,Tanjung Selor,2.8361111,117.3730556
SRI,Temindung,Samarinda,-0.481389,117.155833
BPN,Sultan Aji Muhammad Sulaiman,Balikpapan,-1.2675,116.8938889
LNU,Robert Atty Bessing,Malinau,3.575278,116.619722
LOP,Zainuddin Abdul Madjid,Lombok Tengah,-8.7572222,116.2766667
KBU,Gusti Sjamsir Alam,Kotabaru,-3.295,116.1658333
